id,nutrition,taste,environment,wt,ds,gender,age,faculty,expense,status
1,4,5,3,5,5,Female,21,Science,4000,Undergraduate
2,5,3,2,5,5,Female,22,Science,5000,Undergraduate
3,2,3,1,4,5,Female,20,Business and Economics,3000,Undergraduate
4,5,2,1,4,3,Female,20,Science,4500,Undergraduate
5,4,4,4,4,4,Female,20,Science,3000,Undergraduate
6,1,3,3,2,2,Male,21,Business and Economics,4500,Undergraduate
7,2,5,1,4,3,Female,20,Science,3500,Undergraduate
8,2,5,4,3,3,Female,20,Engineering,6000,Undergraduate
9,1,5,2,4,3,Female,24,Education,4000,Postgraduate
10,3,5,4,4,4,Female,20,Business and Economics,3500,Undergraduate
11,4,5,3,4,5,Male,22,Business and Economics,2500,Undergraduate
12,5,4,5,5,5,Male,20,Business and Economics,5000,Undergraduate
13,3,5,3,5,3,Male,24,Science,20000,Undergraduate
14,5,5,4,3,4,Female,20,Business and Economics,2500,Undergraduate
15,3,4,3,4,3,Male,21,Business and Economics,5000,Undergraduate
16,1,5,2,3,4,Female,20,Social Science,7000,Undergraduate
17,4,5,1,2,3,Female,21,Business and Economics,4000,Undergraduate
18,5,2,1,3,4,Female,21,Business and Economics,3500,Undergraduate
19,5,3,2,4,4,Female,21,Science,4500,Undergraduate
20,4,4,3,5,5,Female,20,Business and Economics,5000,Undergraduate
